txid,bookingdate,issuercountrycode,txvariantcode,bin,amount,currencycode,shoppercountrycode,shopperinteraction,simple_journal,cardverificationcodesupplied,cvcresponsecode,creationdate,accountcode,mail_id,ip_id,card_id
1,2015-11-09 14:26:51,MX,mccredit,530056,64800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-01 23:03:11,MexicoAccount,email68370,ip111778,card184798
2,2015-11-09 14:27:38,MX,mccredit,547046,44900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-02 04:50:55,MexicoAccount,email101299,ip78749,card151595
3,2015-11-23 16:34:16,MX,mccredit,528843,149900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-02 14:30:28,MexicoAccount,email278604,ip70594,card242142
4,2015-11-23 16:34:51,MX,mccredit,547146,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-03 07:53:37,MexicoAccount,email47409,ip113648,card181744
5,2015-11-09 14:26:08,MX,visaclassic,477291,89900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-08 18:35:35,MexicoAccount,email205501,ip83553,card97271
6,2015-11-09 14:26:25,MX,visaclassic,493161,79900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-08 23:04:26,MexicoAccount,email243511,ip112410,card159816
7,2015-11-09 14:26:47,MX,visaclassic,477291,69900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-09 02:31:36,MexicoAccount,email137086,ip83481,card251249
8,2015-11-23 16:34:29,MX,mccredit,520416,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-09 04:56:48,MexicoAccount,email295644,ip66704,card70297
9,2015-12-08 19:58:35,MX,visaclassic,477291,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-09 22:55:40,MexicoAccount,email115605,ip68088,card39791
10,2015-11-09 14:25:50,MX,mccredit,549138,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-11 09:44:14,MexicoAccount,email182966,ip113025,card160922
11,2015-11-23 16:34:29,MX,mccredit,520416,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-11 18:54:05,MexicoAccount,email121326,ip66645,card101732
12,2015-11-09 14:26:11,MX,mcdebit,525678,84915,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-15 23:46:02,MexicoAccount,email73234,ip76993,card208276
13,2015-12-08 19:58:35,MX,visagold,493173,119900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-17 03:25:00,MexicoAccount,email92697,ip76878,card264612
14,2015-11-09 14:25:51,MX,visagold,477213,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-17 07:52:16,MexicoAccount,email128862,ip70728,card250464
15,2015-11-23 16:34:25,MX,mccredit,520416,137900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-19 01:54:35,MexicoAccount,email205298,ip78514,card214147
16,2015-11-23 16:34:41,MX,visaclassic,455545,115300,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-21 21:30:18,MexicoAccount,email200329,ip85198,card67812
17,2015-11-23 16:34:56,MX,mccredit,528843,102900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-22 01:22:11,MexicoAccount,email52218,ip66658,card15137
18,2015-11-23 16:34:06,MX,visaclassic,426807,159900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-22 02:36:30,MexicoAccount,email241832,ip77787,card31669
19,2015-12-08 19:58:35,MX,mccredit,544549,89165,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-22 07:09:44,MexicoAccount,email171889,ip70519,card241186
20,2015-11-23 16:34:39,MX,mccredit,557910,119900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-23 18:55:21,MexicoAccount,email260026,ip65124,card157094
21,2015-11-23 16:34:05,MX,mccredit,520416,160800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-23 23:44:27,MexicoAccount,email105581,ip81624,card235670
22,2015-12-08 19:58:35,MX,mccredit,520021,89900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-25 23:11:22,MexicoAccount,email250381,ip64823,card43275
23,2015-11-09 14:25:54,MX,mccredit,520021,97900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-26 03:55:52,MexicoAccount,email13339,ip67976,card270780
24,2015-11-23 16:34:28,MX,mccredit,518853,129900,MXN,US,Ecommerce,Chargeback,TRUE,0,2015-07-26 22:22:29,MexicoAccount,email100813,ip352385,card236034
25,2015-11-12 13:16:34,MX,mccredit,520416,191900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-28 18:02:51,MexicoAccount,email21032,ip70585,card252061
26,2015-11-09 14:25:57,MX,mccredit,554900,93415,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-28 22:40:35,MexicoAccount,email93270,ip112449,card147712
27,2015-11-12 13:16:34,MX,visaclassic,477291,289900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-29 17:56:53,MexicoAccount,email21032,ip70585,card140567
28,2015-11-23 16:34:40,MX,visaplatinum,477214,118900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-30 05:48:47,MexicoAccount,email332232,ip112910,card148220
29,2015-11-12 13:16:34,MX,visaplatinum,410181,329900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-30 07:30:54,MexicoAccount,email136002,ip111250,card45886
30,2015-11-12 13:16:34,MX,visaplatinum,410181,181900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-30 07:38:38,MexicoAccount,email136002,ip111250,card45886
31,2015-11-23 16:33:59,MX,visaclassic,493161,169915,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-30 20:24:36,MexicoAccount,email251083,ip84162,card48227
32,2015-12-08 19:58:35,MX,visaclassic,454069,99900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-30 22:16:04,MexicoAccount,email163478,ip113963,card266191
33,2015-11-23 16:34:29,MX,visaclassic,426807,129900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-31 08:12:22,MexicoAccount,email346054,ip77866,card193843
34,2015-11-09 14:26:13,MX,mccredit,520416,83900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-31 14:27:42,MexicoAccount,email129360,ip66658,card47876
35,2015-11-09 14:26:25,MX,visaplatinum,477214,79900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-07-31 23:02:22,MexicoAccount,email92308,ip77120,card88373
36,2015-11-23 16:34:38,MX,mccredit,547046,119900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-01 09:10:49,MexicoAccount,email136002,ip66496,card131108
37,2015-11-12 13:16:35,MX,mccredit,547046,217700,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-01 09:29:45,MexicoAccount,email136002,ip66496,card131108
38,2015-11-09 14:25:51,MX,visaclassic,477291,99800,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-03 02:42:48,MexicoAccount,email171719,ip68604,card240559
39,2015-11-23 16:34:34,MX,visaplatinum,477214,119940,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-03 05:21:13,MexicoAccount,email45466,ip80018,card182393
40,2015-12-08 19:58:35,MX,visaclassic,477291,109900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-03 14:47:55,MexicoAccount,email110896,ip79213,card217683
41,2015-12-08 19:58:36,MX,mccredit,517712,199900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-08-03 17:35:21,MexicoAccount,email252743,ip110195,card100209
